KeyMineProject,Property Name,Primary Commodity,Commodity Group,List of Owners,List of Royalty Holders,Development Stage,Activity Status,Latitude (degrees),Longitude (degrees),Coordinate Accuracy
67762,Kang Roland South,Gold,Precious Metals,Brighton Mining Limited (Owner) 70%; Unnamed Owner (Owner) 30%,NA,Grassroots,Inactive,12.795000,106.714000,Exact
67765,Detour Trend,Gold,Precious Metals,Genius Properties Ltd. (Owner) 100%,NA,Grassroots,Inactive,50.081120,-79.510700,Approximate
67778,Bystrinsko-Shirinskoye,Gold,Precious Metals,PJSC Mining and Metallurgical Company Norilsk Nickel (Owner) 100%,NA,Feasibility,Active,51.454630,118.645140,Approximate
67783,West Daqing Gerry River,Gold,Precious Metals,Yinfu Gold Corporation (Owner) 70%; Unnamed Owner (Owner) 30%,NA,Exploration,Active,46.700000,90.300000,Approximate
67784,Sensha Water Mountain,Gold,Precious Metals,Unnamed Owner (Owner) 58%; Yinfu Gold Corporation (Owner) 42%,NA,Exploration,Inactive,42.220000,86.910000,Approximate
67785,Keler Nebrack,Gold,Precious Metals,Unnamed Owner (Owner) 58%; Yinfu Gold Corporation (Owner) 42%,NA,Exploration,Inactive,43.866780,87.704600,Best Guess
67788,Labrador Trough,Gold,Precious Metals,Altius Minerals Corporation (Venturer) 50%; Osisko Mining Inc. (Optionee) 50%; Osisko Gold Royalties Ltd. (Optionor),NA,Grassroots,Active,57.480110,-69.202650,Exact
67789,Repatriacion,Gold,Precious Metals,Latin American Minerals Inc. (Owner) 100%,NA,Grassroots,Inactive,-25.529000,-56.083000,Exact
67791,Laverton,Gold,Precious Metals,NA,NA,Grassroots,Inactive,-28.710000,122.329000,Exact
67792,Hutti-Maski,Gold,Precious Metals,Deccan Gold Mines Limited (Owner) 100%,NA,Exploration,Active,16.157000,76.675000,Best Guess
67796,Fandyora,Gold,Precious Metals,Taurus Gold Limited (Owner) 100%,NA,Advanced Exploration,Inactive,10.335000,-4.701000,Exact
67797,Hana Lobo,Gold,Precious Metals,Taurus Gold Limited (Owner) 60%; Societe Pour Le Developpement Minier De La Cote d'Ivoire (Owner) 40%,NA,Exploration,Inactive,6.050000,-6.620000,Exact
67800,Woolgarlo,Gold,Precious Metals,Centrex Metals Limited (Owner) 100%,NA,Target Outline,Active,-34.804000,148.739000,Exact
67802,Zhelezny-Kryazh,Gold,Precious Metals,Siberian Goldfields Limited (Owner) 100%,NA,Feasibility,Inactive,51.204000,119.109000,Exact
67803,Mt Minnie,Gold,Precious Metals,Zenith Minerals Limited (Owner) 100%,NA,Target Outline,Active,-24.070000,115.760000,Exact
67805,Mt Davis,Gold,Precious Metals,NA,NA,Grassroots,Inactive,-28.694810,121.214810,Exact
67808,Singida,Gold,Precious Metals,Tanga Resources Limited (Owner) 99.95%; Unnamed Owner (Owner) 0.05%,NA,Target Outline,Active,-4.330000,35.030000,Exact
67813,Valdivia,Gold,Precious Metals,Alluvia Mining Ltd (Owner) 100%,NA,Prefeas/Scoping,Inactive,-39.639140,-72.785860,Exact
