MineID	MineName	Owners	Development Stage	Activity Status	Lat	Lon
24837	Grouse Creek	NA	Closed	Inactive	44.433060	-114.750000
24844	Camp Bird	Camp Bird Colorado Inc (Owner) 100%	Closed	Inactive	37.970000	-107.725280
24846	Summitville	Galactic Resources Ltd (Optionee) 100%	Closed	Inactive	37.410000	-106.560000
24848	Leach Claims	Arcanna Industries Corp (Owner) 100%	Reserves Development	Inactive	34.471390	-113.151390
24850	Alaska Offshore Gold Placer Permits	NA	Exploration	Inactive	64.611390	-163.250460
24852	Carter Mine	NA	Reserves Development	Inactive	38.600000	-106.600000
24855	Illinois Creek	Plan B Minerals Corp. (Optionee) 100%; Piek Exploration LLC (Optionor); Silver Predator Corporation (Optionor)	Reserves Development	Active	64.040000	-157.910000
24858	Snowshoe Mine	Greenwood Explorations Ltd (Owner) 100%	Exploration	Inactive	48.204720	-115.645280
24859	Eldorado Canyon	Alta Gold Co (Optionee) 100%; Future Petroleum Corp (Optionor)	Target Outline	Inactive	35.708060	-114.856670
24862	Bald Mountain	JD Irving Ltd (Owner) 100%	Reserves Development	Active	46.733060	-68.725000
24865	Paymaster Shaft	Placer Dome Inc (Barrick Gold) (Owner) 100%	Closed	Inactive	48.444070	-81.260730
24867	Turquoise Ridge	Barrick Gold Corporation (Venturer) 75%; Newmont Mining Corporation (Venturer) 25%	Operating	Active	41.215900	-117.242860
24875	Turner-Albright	Josephine Mining Corp. (Owner) 100%	Reserves Development	Active	42.004170	-123.756940
24878	Emigrant Springs	Newmont Mining Corporation (Owner) 100%	Satellite	Active	40.613050	-115.972070
24879	Santa Fe	Victoria Gold Corp. (Optionee) 100%	Reserves Development	Active	38.594170	-118.142500
24882	Keyrok	Ayerok Petroleum Ltd (Venturer) 50%; Key Properties Ltd (Venturer) 50%	Target Outline	Inactive	42.983330	-117.016670
24886	Cyanide Gulch	Gibbonsville Premier Gold Mines (Owner); Merger Mines Corporation (Owner)	Target Outline	Inactive	45.550000	-113.916670
24888	Stibnite	NA	Closed	Inactive	44.909170	-115.330830
24889	Chandalar	"Goldrich Mining Company (Owner) 50%; NyacAU, LLC (Owner) 50%"	Limited Production	Active	67.550250	-148.179580
24890	Napias Creek	NA	Feasibility	Inactive	45.300000	-114.066390
24892	Unga	Redstar Gold Corporation (Optionee) 100%; Full Metal Minerals Ltd. (Optionor); The Aleut Corp (Optionor)	Reserves Development	Active	55.226110	-160.573890
24893	Easy Ridge Property	NA	Exploration	Inactive	39.158040	-115.669130
24895	Mayflower	NA	Target Outline	Inactive	40.616340	-111.441380
24896	Silver Cross	Amca Industries Ltd #807 (Venturer) 67.3%; Flow Resources Ltd (Venturer) 32.7%	Closed	Inactive	33.922780	-111.953610
24899	Goldfield	Pacific Gold and Uranium Inc (Venturer) 25%	Feasibility	Inactive	37.738650	-117.231020
24906	Ropes	"Coeur Mining, Inc. (Owner) 100%"	Exploration	Inactive	46.530830	-87.714170
