Row Labels,Month,Day,Payloads,Paytons,CycleTime_Sum_Minutes,Traveling_Sum_Minutes,Waiting_Sum_Minutes,Spotting_Sum_Minutes,Loading_Sum_Minutes,Hauling_Sum_Minutes,Queued_Sum_Minutes,Backing_Sum_Minutes,Tipping_Sum_Minutes
403,2,19,1,192.1999969,35.51666667,13.5,6.7,0.566666667,4.6,8.633333333,0.366666667,0.466666667,0.683333333
403,2,19,1,168.6999969,27.1,10.38333333,0.066666667,1.016666667,3.1,8.716666667,0.933333333,2.033333333,0.85
403,2,19,1,179.8000031,33.73333333,15.53333333,0.066666667,0.25,3.216666667,13.45,0.116666667,0.466666667,0.633333333
403,2,19,6,1164.600006,237.2666667,80.86666667,10.33333333,0.4,20.43333333,117.8833333,0.666666667,2.733333333,3.95
403,2,20,3,560.7999878,108.9166667,23.13333333,28.55,1.483333333,10.23333333,40.66666667,0.15,1.1,3.6
403,2,20,7,1308.100006,156.5666667,64,11.56666667,1.133333333,13.55,58.35,0.316666667,1.683333333,5.966666667
403,2,20,1,199.5,41.83333333,21.81666667,3.216666667,0,2.683333333,13.08333333,0.05,0.35,0.633333333
403,2,20,2,361,42.28333333,14.81666667,4.45,0.2,5.916666667,11.66666667,4.266666667,0,0.966666667
403,2,20,1,207.6000061,21.86666667,7.383333333,1.95,0,2.1,9.133333333,0.1,0.4,0.8
403,2,20,2,371.2999878,77.76666667,33.96666667,6.95,0.15,4.25,30.8,0.183333333,0.366666667,1.1
403,2,20,4,731.7000122,128.7,27.11666667,16.1,2.466666667,15.86666667,60.08333333,0.316666667,1.833333333,4.916666667
403,2,20,2,359.8999939,61.36666667,12.13333333,18.25,0.5,8.516666667,18.35,1.333333333,0.933333333,1.35
403,2,20,1,173.8000031,23.13333333,9.683333333,0.083333333,0.25,4.2,7.55,0.033333333,0.466666667,0.866666667
403,2,20,5,919.1999817,129.2,42.31666667,12.98333333,0.833333333,22.33333333,35.96666667,3.866666667,7.466666667,3.433333333
403,2,20,3,561,233.5333333,56.36666667,23.5,0.683333333,10.9,137.3833333,0.216666667,1.95,2.533333333
403,2,21,1,189.3999939,26.7,9.866666667,5.916666667,0.016666667,2.033333333,7.783333333,0.066666667,0.4,0.616666667
403,2,21,1,198.6000061,36.88333333,16.51666667,0.066666667,0.316666667,2.35,16.41666667,0.083333333,0.533333333,0.6
403,2,21,1,163.6999969,38.96666667,21.38333333,3.1,0.016666667,2.05,11.31666667,0.083333333,0.3,0.716666667
403,2,21,2,386.1000061,84.13333333,36.76666667,5.4,1.566666667,6.016666667,31.26666667,1.166666667,0.683333333,1.266666667
403,2,21,4,765.2999878,117.8,55.38333333,18.3,0.433333333,6.85,34.31666667,0.483333333,0.983333333,1.05
403,2,21,2,379,55.46666667,13.86666667,1.2,0.45,6.083333333,30.48333333,0.65,1.5,1.233333333
403,2,21,10,1826.799988,528.5333333,147.8,34.15,3.25,46.61666667,282.6166667,3.433333333,4.416666667,6.25
403,2,22,2,363.3000031,48.65,25.66666667,0.05,0.333333333,2.466666667,17.51666667,0.45,1.033333333,1.133333333
403,2,22,5,914.6000061,181.8,73.85,15.55,1.666666667,10.61666667,73.03333333,0.583333333,3.2,3.3
403,2,22,3,532.7000122,136.8833333,73.45,6.783333333,0.05,5.55,48.65,0.05,0.45,1.9
403,2,22,1,188.3000031,33.21666667,20.85,0,0.2,2.416666667,8.3,0.05,0.733333333,0.666666667
403,2,22,3,567.9000092,110.0833333,33.85,10.75,1.066666667,7.966666667,54.65,0,0,1.8
403,2,22,1,166.6999969,39.18333333,18.2,4.666666667,0.416666667,3.083333333,7.25,4.183333333,0.766666667,0.616666667
403,2,22,7,1222.299988,384.7833333,82.8,31.1,4.483333333,19.35,231.8833333,5.683333333,3.516666667,5.966666667
403,2,23,10,1877.699997,381.2833333,179.7666667,25.11666667,4,24.85,134.9833333,1.383333333,5.016666667,6.166666667
403,2,23,1,96.09999847,35.31666667,19.01666667,1.166666667,0.383333333,1.483333333,12.7,0,0,0.566666667
403,2,23,1,190.5,44.73333333,29.01666667,0,0.016666667,3.6,9.266666667,1.783333333,0.416666667,0.633333333
